Date of production: 2025-05-14
Produced by: Arthur Garreau
Best estimation of beam and diffuse irradiance with GLOB using the Faiman et al. (1992) method.
Location: Adventdalen (78.200318N 15.840308E).
[UTC]		[W m-2]	 [W m-2]	  [W m-2]	 [W m-2]	 [/]	 [°]	 [/]
Timestamp	Beam	Diffuse	Beam_prime	Diffuse_prime	Best_Combination	Solar zenith	Albedo
2024-05-03 00:00:00+00:00	8	53	13	53	('N_90', 'S_90')	85.57	0.22
2024-05-03 00:10:00+00:00	5	45	7	45	('N_90', 'S_90')	85.42	0.22
2024-05-03 00:20:00+00:00	6	45	8	45	('N_90', 'S_90')	85.25	0.22
2024-05-03 00:30:00+00:00	5	48	8	48	('NE_90', 'SW_90')	85.05	0.22
2024-05-03 00:40:00+00:00	5	49	6	48	('NE_90', 'SW_90')	84.84	0.22
2024-05-03 00:50:00+00:00	6	55	9	55	('NE_90', 'SW_90')	84.61	0.22
2024-05-03 01:00:00+00:00	6	55	8	55	('NE_90', 'SW_90')	84.35	0.22
2024-05-03 01:10:00+00:00	6	56	9	56	('NE_90', 'SW_90')	84.08	0.22
2024-05-03 01:20:00+00:00	4	50	6	50	('NE_90', 'SW_90')	83.79	0.22
2024-05-03 01:30:00+00:00	3	48	4	48	('NE_90', 'SW_90')	83.49	0.22
2024-05-03 01:40:00+00:00	2	46	2	46	('NE_90', 'SW_90')	83.17	0.22
2024-05-03 01:50:00+00:00	3	47	3	47	('NE_90', 'SW_90')	82.83	0.22
2024-05-03 02:00:00+00:00	5	48	7	48	('NE_90', 'SW_90')	82.47	0.22
2024-05-03 02:10:00+00:00	8	53	10	53	('NE_90', 'SW_90')	82.1	0.22
2024-05-03 02:20:00+00:00	26	98	39	96	('NE_90', 'SW_90')	81.72	0.22
2024-05-03 02:30:00+00:00	61	239	132	228	('NE_90', 'SW_90')	81.32	0.22
2024-05-03 02:40:00+00:00	85	435	260	407	('NE_90', 'SW_90')	80.91	0.22
2024-05-03 02:50:00+00:00	93	507	306	471	('NE_90', 'SW_90')	80.48	0.22
2024-05-03 03:00:00+00:00	90	458	268	427	('NE_45', 'SW_90')	80.05	0.22
2024-05-03 03:10:00+00:00	94	475	279	442	('NE_45', 'SW_90')	79.6	0.22
2024-05-03 03:20:00+00:00	99	492	291	456	('NE_45', 'SW_90')	79.14	0.22
2024-05-03 03:30:00+00:00	103	502	298	463	('NE_45', 'SW_90')	78.68	0.22
2024-05-03 03:40:00+00:00	102	482	282	445	('E_45', 'W_90')	78.2	0.22
2024-05-03 03:50:00+00:00	104	499	287	460	('E_45', 'W_90')	77.72	0.22
2024-05-03 04:00:00+00:00	107	515	292	474	('E_45', 'W_90')	77.23	0.22
2024-05-03 04:10:00+00:00	109	531	296	488	('E_45', 'W_90')	76.73	0.22
2024-05-03 04:20:00+00:00	111	544	300	499	('E_45', 'W_90')	76.23	0.22
2024-05-03 04:30:00+00:00	113	558	303	511	('E_45', 'W_90')	75.73	0.22
2024-05-03 04:40:00+00:00	114	562	302	514	('E_45', 'W_90')	75.22	0.22
2024-05-03 04:50:00+00:00	115	558	297	510	('E_45', 'W_90')	74.71	0.22
2024-05-03 05:00:00+00:00	119	584	309	532	('E_45', 'W_90')	74.2	0.22
2024-05-03 05:10:00+00:00	122	606	319	550	('E_45', 'W_90')	73.68	0.22
2024-05-03 05:20:00+00:00	125	610	322	553	('E_45', 'W_90')	73.17	0.22
2024-05-03 05:30:00+00:00	123	573	300	520	('E_45', 'W_90')	72.66	0.22
2024-05-03 05:40:00+00:00	130	611	322	552	('E_45', 'W_90')	72.15	0.22
2024-05-03 05:50:00+00:00	135	642	340	577	('E_45', 'W_90')	71.64	0.22
2024-05-03 06:00:00+00:00	138	637	340	572	('E_45', 'W_90')	71.14	0.22
2024-05-03 06:10:00+00:00	141	630	340	564	('E_45', 'W_90')	70.64	0.22
2024-05-03 06:20:00+00:00	145	633	345	565	('E_45', 'W_90')	70.15	0.22
2024-05-03 06:30:00+00:00	144	601	329	536	('E_45', 'W_90')	69.67	0.22
2024-05-03 06:40:00+00:00	156	665	373	588	('SE_45', 'NW_90')	69.19	0.22
2024-05-03 06:50:00+00:00	159	697	386	614	('SE_45', 'NW_90')	68.72	0.22
2024-05-03 07:00:00+00:00	158	688	376	607	('SE_45', 'NW_90')	68.26	0.22
2024-05-03 07:10:00+00:00	149	620	331	551	('SE_45', 'NW_90')	67.82	0.22
2024-05-03 07:20:00+00:00	152	647	343	573	('SE_45', 'NW_90')	67.38	0.22
2024-05-03 07:30:00+00:00	156	673	356	595	('SE_45', 'NW_90')	66.96	0.22
2024-05-03 07:40:00+00:00	161	704	372	619	('SE_45', 'NW_90')	66.55	0.22
2024-05-03 07:50:00+00:00	167	753	399	659	('SE_45', 'NW_90')	66.15	0.22
2024-05-03 08:00:00+00:00	170	769	407	672	('SE_45', 'NW_90')	65.77	0.22
2024-05-03 08:10:00+00:00	172	781	413	681	('SE_45', 'NW_90')	65.41	0.22
2024-05-03 08:20:00+00:00	173	784	414	683	('SE_45', 'NW_90')	65.06	0.22
2024-05-03 08:30:00+00:00	175	791	416	688	('SE_45', 'NW_90')	64.73	0.22
2024-05-03 08:40:00+00:00	175	781	412	679	('SE_45', 'NW_90')	64.42	0.22
2024-05-03 08:50:00+00:00	176	763	405	663	('SE_45', 'NW_90')	64.13	0.22
2024-05-03 09:00:00+00:00	180	773	415	670	('SE_45', 'NW_90')	63.85	0.22
2024-05-03 09:10:00+00:00	182	763	413	659	('SE_45', 'NW_90')	63.6	0.22
2024-05-03 09:20:00+00:00	183	754	413	651	('SE_45', 'NW_90')	63.37	0.22
2024-05-03 09:30:00+00:00	185	745	413	642	('SE_45', 'NW_90')	63.16	0.22
2024-05-03 09:40:00+00:00	180	751	401	651	('N_90', 'S_45')	62.97	0.22
2024-05-03 09:50:00+00:00	179	759	401	658	('N_90', 'S_45')	62.81	0.22
