# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 3%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'E_45', 'S_45', 'W_45']
# GENERAL RESULTS:
# Error model Diffuse = 4.34 % 
# Error model Beam = 18.51 % 
# % of p-value<0.05 Diffuse = 5.76 % 
# % of p-value<0.05 Beam = 5.54 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.019	0.319	NaN	NaN
2024-04-19 07:00:00+00:00	0.02	0.369	NaN	NaN
2024-04-19 08:00:00+00:00	0.021	0.155	0.321	0.792
2024-04-19 09:00:00+00:00	0.021	0.181	0.227	0.308
2024-04-19 10:00:00+00:00	0.021	0.282	0.5	0.117
2024-04-19 11:00:00+00:00	0.021	0.445	NaN	NaN
2024-04-19 12:00:00+00:00	0.018	0.464	NaN	NaN
2024-04-19 13:00:00+00:00	0.015	0.617	NaN	NaN
2024-04-19 14:00:00+00:00	0.01	0.753	NaN	NaN
2024-04-19 15:00:00+00:00	0.021	0.119	0.766	0.008
2024-04-19 16:00:00+00:00	0.021	0.086	0.398	0.376
2024-04-19 17:00:00+00:00	0.02	0.104	0.229	0.026
2024-04-19 18:00:00+00:00	0.028	0.045	0.773	0.955
2024-04-19 19:00:00+00:00	0.02	0.06	0.839	0.026
2024-04-19 20:00:00+00:00	0.017	0.097	0.941	0.195
2024-04-20 06:00:00+00:00	0.019	0.116	0.089	0.294
2024-04-20 07:00:00+00:00	0.02	0.116	0.524	0.245
2024-04-20 08:00:00+00:00	0.021	0.088	0.412	0.39
2024-04-20 09:00:00+00:00	0.02	0.126	0.04	0.449
2024-04-20 10:00:00+00:00	0.021	0.216	0.753	0.758
2024-04-20 11:00:00+00:00	0.022	0.225	0.732	0.779
2024-04-20 12:00:00+00:00	0.02	0.324	NaN	NaN
2024-04-20 13:00:00+00:00	0.018	0.532	NaN	NaN
2024-04-20 14:00:00+00:00	0.018	0.43	NaN	NaN
2024-04-20 15:00:00+00:00	0.017	0.513	NaN	NaN
2024-04-20 16:00:00+00:00	0.016	0.508	NaN	NaN
2024-04-20 17:00:00+00:00	0.017	0.481	NaN	NaN
2024-04-20 18:00:00+00:00	0.016	0.487	NaN	NaN
2024-04-20 19:00:00+00:00	0.019	0.175	0.686	0.642
2024-04-20 20:00:00+00:00	0.017	0.203	0.789	0.825
2024-04-21 06:00:00+00:00	0.018	0.23	0.668	0.941
2024-04-21 07:00:00+00:00	0.02	0.124	0.358	0.02
2024-04-21 08:00:00+00:00	0.022	0.068	0.02	0.21
2024-04-21 09:00:00+00:00	0.022	0.092	0.092	0.07
2024-04-21 10:00:00+00:00	0.021	0.144	0.485	0.039
2024-04-21 11:00:00+00:00	0.029	0.076	0.804	0.671
2024-04-21 12:00:00+00:00	0.026	0.073	0.565	0.003
2024-04-21 13:00:00+00:00	0.02	0.117	0.954	0.293
2024-04-21 14:00:00+00:00	0.019	0.243	0.053	0.131
2024-04-21 15:00:00+00:00	0.018	0.405	NaN	NaN
2024-04-21 16:00:00+00:00	0.019	0.289	0.965	0.667
2024-04-21 17:00:00+00:00	0.017	0.545	NaN	NaN
2024-04-21 18:00:00+00:00	0.014	0.517	NaN	NaN
2024-04-21 19:00:00+00:00	0.016	0.466	NaN	NaN
2024-04-21 20:00:00+00:00	0.0	0.0	NaN	NaN
2024-04-22 06:00:00+00:00	0.019	0.22	0.533	0.635
2024-04-22 07:00:00+00:00	0.019	0.182	0.891	0.366
2024-04-22 08:00:00+00:00	0.022	0.054	0.173	0.939
2024-04-22 09:00:00+00:00	0.02	0.114	0.0	0.409
2024-04-22 10:00:00+00:00	0.027	0.061	0.247	0.147
2024-04-22 11:00:00+00:00	0.046	0.057	0.047	0.817
2024-04-22 12:00:00+00:00	0.023	0.123	0.562	0.139
2024-04-22 13:00:00+00:00	0.022	0.062	0.636	0.157
2024-04-22 14:00:00+00:00	0.02	0.255	0.575	0.614
2024-04-22 15:00:00+00:00	0.035	0.04	0.883	0.957
2024-04-22 16:00:00+00:00	0.034	0.051	0.488	0.652
2024-04-22 17:00:00+00:00	0.02	0.186	0.038	0.296
2024-04-22 18:00:00+00:00	0.018	0.109	0.152	0.793
2024-04-22 19:00:00+00:00	0.019	0.073	0.896	0.727
2024-04-22 20:00:00+00:00	0.019	0.082	0.464	0.846
2024-04-23 06:00:00+00:00	0.038	0.046	0.544	0.773
2024-04-23 07:00:00+00:00	0.019	0.129	0.454	0.834
2024-04-23 08:00:00+00:00	0.02	0.065	0.486	0.748
