# Date of production: 2025-08-22
# Produced by: Arthur Garreau
# Error propagation simulation with a Monte Carlo approach of 500 simulations,
# for the model of beam and diffuse estimations, with an input error of 3%. 
# The p-value correspond of a normality distribution test on the model output after each Monte Carlo simulatins.
# Location: 78.200318N 15.840308E
# The orientations used are : ['GHI', 'N_45', 'N_90', 'N_135', 'E_45', 'E_90', 'E_135', 'S_45', 'S_90', 'S_135', 'W_45', 'W_90', 'W_135']
# GENERAL RESULTS:
# Error model Diffuse = 2.6 % 
# Error model Beam = 12.51 % 
# % of p-value<0.05 Diffuse = 3.84 % 
# % of p-value<0.05 Beam = 4.35 % 
#[UTC]		[%]	 [%]	 [%]	 [%]
Timestamp	Error Diffuse	Error Beam	pvalue Diffuse	pvalue Beam
2024-04-19 06:00:00+00:00	0.012	0.247	0.913	0.837
2024-04-19 07:00:00+00:00	0.013	0.253	0.733	0.527
2024-04-19 08:00:00+00:00	0.014	0.103	0.398	0.92
2024-04-19 09:00:00+00:00	0.014	0.124	0.899	0.299
2024-04-19 10:00:00+00:00	0.014	0.186	0.455	0.636
2024-04-19 11:00:00+00:00	0.014	0.313	NaN	NaN
2024-04-19 12:00:00+00:00	0.013	0.39	NaN	NaN
2024-04-19 13:00:00+00:00	0.009	0.547	NaN	NaN
2024-04-19 14:00:00+00:00	0.011	0.561	NaN	NaN
2024-04-19 15:00:00+00:00	0.013	0.074	0.076	0.821
2024-04-19 16:00:00+00:00	0.014	0.053	0.314	0.443
2024-04-19 17:00:00+00:00	0.012	0.063	0.221	0.265
2024-04-19 18:00:00+00:00	0.02	0.029	0.662	0.095
2024-04-19 19:00:00+00:00	0.013	0.037	0.44	0.232
2024-04-19 20:00:00+00:00	0.012	0.058	0.438	0.768
2024-04-20 06:00:00+00:00	0.013	0.08	0.65	0.489
2024-04-20 07:00:00+00:00	0.014	0.085	0.992	0.479
2024-04-20 08:00:00+00:00	0.015	0.06	0.814	0.133
2024-04-20 09:00:00+00:00	0.014	0.082	0.127	0.86
2024-04-20 10:00:00+00:00	0.015	0.146	0.744	0.631
2024-04-20 11:00:00+00:00	0.013	0.142	0.234	0.351
2024-04-20 12:00:00+00:00	0.013	0.195	0.474	0.48
2024-04-20 13:00:00+00:00	0.012	0.365	NaN	NaN
2024-04-20 14:00:00+00:00	0.013	0.377	NaN	NaN
2024-04-20 15:00:00+00:00	0.011	0.489	NaN	NaN
2024-04-20 16:00:00+00:00	0.009	0.4	NaN	NaN
2024-04-20 17:00:00+00:00	0.011	0.355	NaN	NaN
2024-04-20 18:00:00+00:00	0.01	0.359	NaN	NaN
2024-04-20 19:00:00+00:00	0.012	0.128	0.779	0.35
2024-04-20 20:00:00+00:00	0.011	0.128	0.543	0.304
2024-04-21 06:00:00+00:00	0.012	0.162	0.708	0.674
2024-04-21 07:00:00+00:00	0.014	0.087	0.25	0.691
2024-04-21 08:00:00+00:00	0.016	0.044	0.731	0.819
2024-04-21 09:00:00+00:00	0.015	0.06	0.3	0.383
2024-04-21 10:00:00+00:00	0.015	0.098	0.852	0.172
2024-04-21 11:00:00+00:00	0.018	0.05	0.363	0.298
2024-04-21 12:00:00+00:00	0.018	0.049	0.903	0.542
2024-04-21 13:00:00+00:00	0.014	0.078	0.483	0.771
2024-04-21 14:00:00+00:00	0.014	0.186	0.297	0.83
2024-04-21 15:00:00+00:00	0.013	0.398	NaN	NaN
2024-04-21 16:00:00+00:00	0.012	0.258	0.532	0.164
2024-04-21 17:00:00+00:00	0.01	0.46	NaN	NaN
2024-04-21 18:00:00+00:00	0.01	0.328	NaN	NaN
2024-04-21 19:00:00+00:00	0.008	0.271	NaN	NaN
2024-04-21 20:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-22 06:00:00+00:00	0.013	0.138	0.309	0.861
2024-04-22 07:00:00+00:00	0.013	0.119	0.957	0.56
2024-04-22 08:00:00+00:00	0.016	0.037	0.79	0.53
2024-04-22 09:00:00+00:00	0.016	0.077	0.686	0.12
2024-04-22 10:00:00+00:00	0.02	0.043	0.464	0.025
2024-04-22 11:00:00+00:00	0.026	0.037	0.661	0.994
2024-04-22 12:00:00+00:00	0.015	0.068	0.367	0.163
2024-04-22 13:00:00+00:00	0.016	0.042	0.391	0.778
2024-04-22 14:00:00+00:00	0.014	0.154	0.53	0.483
2024-04-22 15:00:00+00:00	0.027	0.029	0.527	0.756
2024-04-22 16:00:00+00:00	0.023	0.034	0.626	0.087
2024-04-22 17:00:00+00:00	0.011	0.114	0.128	0.412
2024-04-22 18:00:00+00:00	0.012	0.065	0.016	0.069
2024-04-22 19:00:00+00:00	0.013	0.04	0.167	0.351
2024-04-22 20:00:00+00:00	0.012	0.048	0.396	0.064
2024-04-23 06:00:00+00:00	0.022	0.03	0.733	0.449
2024-04-23 07:00:00+00:00	0.014	0.099	0.554	0.888
2024-04-23 08:00:00+00:00	0.014	0.047	0.843	0.713
2024-04-23 09:00:00+00:00	0.019	0.035	0.943	0.966
2024-04-23 10:00:00+00:00	0.017	0.044	0.17	0.11
2024-04-23 11:00:00+00:00	0.018	0.042	0.895	0.668
2024-04-23 12:00:00+00:00	0.015	0.067	0.928	0.295
2024-04-23 13:00:00+00:00	0.016	0.039	0.318	0.131
2024-04-23 14:00:00+00:00	0.014	0.063	0.032	0.597
2024-04-23 15:00:00+00:00	0.013	0.056	0.845	0.294
2024-04-23 16:00:00+00:00	0.042	0.031	0.472	0.233
2024-04-23 17:00:00+00:00	0.039	0.03	0.803	0.816
2024-04-23 18:00:00+00:00	0.047	0.03	0.086	0.245
2024-04-23 19:00:00+00:00	0.04	0.025	0.963	0.908
2024-04-23 20:00:00+00:00	0.027	0.02	0.73	0.598
2024-04-24 06:00:00+00:00	0.014	0.05	0.741	0.669
2024-04-24 07:00:00+00:00	0.013	0.125	0.665	0.372
2024-04-24 08:00:00+00:00	0.014	0.142	0.645	0.812
2024-04-24 09:00:00+00:00	0.014	0.086	0.939	0.055
2024-04-24 10:00:00+00:00	0.014	0.069	0.458	0.853
2024-04-24 11:00:00+00:00	0.014	0.082	0.08	0.477
2024-04-24 12:00:00+00:00	0.015	0.071	0.185	0.337
2024-04-24 13:00:00+00:00	0.013	0.116	0.431	0.949
2024-04-24 14:00:00+00:00	0.02	0.024	0.121	0.611
2024-04-24 15:00:00+00:00	0.053	0.03	0.794	0.157
2024-04-24 16:00:00+00:00	0.051	0.032	0.88	0.318
2024-04-24 17:00:00+00:00	0.041	0.03	0.939	0.685
2024-04-24 18:00:00+00:00	0.052	0.031	0.146	0.301
2024-04-24 19:00:00+00:00	0.041	0.024	0.583	0.57
2024-04-24 20:00:00+00:00	0.029	0.02	0.759	0.98
2024-04-25 06:00:00+00:00	0.045	0.033	0.142	0.862
2024-04-25 07:00:00+00:00	0.043	0.027	0.866	0.323
2024-04-25 08:00:00+00:00	0.04	0.024	0.728	0.029
2024-04-25 09:00:00+00:00	0.045	0.028	0.435	0.112
2024-04-25 10:00:00+00:00	0.063	0.034	0.759	0.909
2024-04-25 11:00:00+00:00	0.058	0.035	0.744	0.299
2024-04-25 12:00:00+00:00	0.064	0.035	0.499	0.34
2024-04-25 13:00:00+00:00	0.047	0.028	0.706	0.514
2024-04-25 14:00:00+00:00	0.045	0.024	0.896	0.428
2024-04-25 15:00:00+00:00	0.051	0.03	0.861	0.29
2024-04-25 16:00:00+00:00	0.05	0.031	0.367	0.011
2024-04-25 17:00:00+00:00	0.043	0.031	0.976	0.761
2024-04-25 18:00:00+00:00	0.05	0.03	0.099	0.639
2024-04-25 19:00:00+00:00	0.039	0.024	0.345	0.656
2024-04-25 20:00:00+00:00	0.03	0.021	0.259	0.479
2024-04-26 06:00:00+00:00	0.042	0.03	0.117	0.016
2024-04-26 07:00:00+00:00	0.042	0.028	0.61	0.33
2024-04-26 08:00:00+00:00	0.033	0.024	0.814	0.095
2024-04-26 09:00:00+00:00	0.037	0.028	0.843	0.986
2024-04-26 10:00:00+00:00	0.054	0.033	0.23	0.579
2024-04-26 11:00:00+00:00	0.053	0.035	0.56	0.691
2024-04-26 12:00:00+00:00	0.053	0.034	0.087	0.199
2024-04-26 13:00:00+00:00	0.035	0.025	0.192	0.332
2024-04-26 14:00:00+00:00	0.041	0.024	0.685	0.79
2024-04-26 15:00:00+00:00	0.047	0.029	0.694	0.484
2024-04-26 16:00:00+00:00	0.051	0.032	0.49	0.659
2024-04-26 17:00:00+00:00	0.038	0.029	0.537	0.639
2024-04-26 18:00:00+00:00	0.041	0.028	0.925	0.407
2024-04-26 19:00:00+00:00	0.038	0.024	0.762	0.098
2024-04-26 20:00:00+00:00	0.028	0.02	0.056	0.597
2024-04-27 06:00:00+00:00	0.011	0.447	NaN	NaN
2024-04-27 07:00:00+00:00	0.012	0.506	NaN	NaN
2024-04-27 08:00:00+00:00	0.014	0.35	NaN	NaN
2024-04-27 09:00:00+00:00	0.012	0.487	NaN	NaN
2024-04-27 10:00:00+00:00	0.012	0.502	NaN	NaN
2024-04-27 11:00:00+00:00	0.013	0.301	0.711	0.629
2024-04-27 12:00:00+00:00	0.015	0.082	0.91	0.77
2024-04-27 13:00:00+00:00	0.014	0.092	0.652	0.807
2024-04-27 14:00:00+00:00	0.015	0.324	0.551	0.033
2024-04-27 15:00:00+00:00	0.012	0.464	NaN	NaN
2024-04-27 16:00:00+00:00	0.01	0.264	NaN	NaN
2024-04-27 17:00:00+00:00	0.01	0.402	NaN	NaN
2024-04-27 18:00:00+00:00	0.012	0.219	0.344	0.179
2024-04-27 19:00:00+00:00	0.012	0.195	0.677	0.09
2024-04-27 20:00:00+00:00	0.01	0.23	NaN	NaN
2024-04-28 06:00:00+00:00	0.011	0.453	NaN	NaN
2024-04-28 07:00:00+00:00	0.013	0.348	NaN	NaN
2024-04-28 08:00:00+00:00	0.012	0.491	NaN	NaN
2024-04-28 09:00:00+00:00	0.014	0.264	0.492	0.422
2024-04-28 10:00:00+00:00	0.013	0.276	0.648	0.693
2024-04-28 11:00:00+00:00	0.013	0.249	0.391	0.128
2024-04-28 12:00:00+00:00	0.013	0.285	NaN	NaN
2024-04-28 13:00:00+00:00	0.014	0.192	0.214	0.88
2024-04-28 14:00:00+00:00	0.011	0.542	NaN	NaN
2024-04-28 15:00:00+00:00	0.013	0.123	0.879	0.388
2024-04-28 16:00:00+00:00	0.011	0.465	NaN	NaN
2024-04-28 17:00:00+00:00	0.002	0.052	NaN	NaN
2024-04-28 18:00:00+00:00	NaN	NaN	NaN	NaN
2024-04-28 19:00:00+00:00	0.01	0.191	NaN	NaN
2024-04-28 20:00:00+00:00	0.01	0.194	NaN	NaN
2024-04-29 06:00:00+00:00	0.01	0.445	NaN	NaN
2024-04-29 07:00:00+00:00	0.011	0.492	NaN	NaN
2024-04-29 08:00:00+00:00	0.014	0.359	NaN	NaN
2024-04-29 09:00:00+00:00	0.014	0.209	0.366	0.216
2024-04-29 10:00:00+00:00	0.013	0.122	0.022	0.884
2024-04-29 11:00:00+00:00	0.013	0.125	0.28	0.737
2024-04-29 12:00:00+00:00	0.013	0.084	0.983	0.906
2024-04-29 13:00:00+00:00	0.014	0.106	0.365	0.736
2024-04-29 14:00:00+00:00	0.015	0.101	0.127	0.366
2024-04-29 15:00:00+00:00	0.013	0.079	0.815	0.257
2024-04-29 16:00:00+00:00	0.012	0.101	0.12	0.773
2024-04-29 17:00:00+00:00	0.012	0.189	0.735	0.596
2024-04-29 18:00:00+00:00	0.013	0.115	0.755	0.814
2024-04-29 19:00:00+00:00	0.013	0.051	0.617	0.108
2024-04-29 20:00:00+00:00	0.013	0.068	0.475	0.648
2024-04-30 06:00:00+00:00	0.012	0.323	NaN	NaN
2024-04-30 07:00:00+00:00	0.013	0.332	NaN	NaN
2024-04-30 08:00:00+00:00	0.013	0.397	NaN	NaN
2024-04-30 09:00:00+00:00	0.012	0.482	NaN	NaN
2024-04-30 10:00:00+00:00	0.013	0.181	0.075	0.497
2024-04-30 11:00:00+00:00	0.013	0.374	NaN	NaN
2024-04-30 12:00:00+00:00	0.013	0.403	NaN	NaN
2024-04-30 13:00:00+00:00	0.012	0.213	0.016	0.122
2024-04-30 14:00:00+00:00	0.014	0.192	0.487	0.643
2024-04-30 15:00:00+00:00	0.021	0.028	0.711	0.251
2024-04-30 16:00:00+00:00	0.013	0.108	0.946	0.203
2024-04-30 17:00:00+00:00	0.013	0.159	0.59	0.032
2024-04-30 18:00:00+00:00	0.012	0.208	0.371	0.165
2024-04-30 19:00:00+00:00	0.013	0.179	0.051	0.715
2024-04-30 20:00:00+00:00	0.013	0.131	0.192	0.18
2024-05-01 06:00:00+00:00	0.012	0.387	NaN	NaN
2024-05-01 07:00:00+00:00	0.012	0.428	NaN	NaN
2024-05-01 08:00:00+00:00	0.013	0.274	0.364	0.655
2024-05-01 09:00:00+00:00	0.013	0.397	NaN	NaN
2024-05-01 10:00:00+00:00	0.013	0.346	NaN	NaN
2024-05-01 11:00:00+00:00	0.012	0.235	NaN	NaN
