Date of production: 2025-05-14
Produced by: Arthur Garreau
Best estimation of beam and diffuse irradiance with GLOB using the Faiman et al. (1992) method.
Location: Ny-Alesund (78.92240N 11.92174E).
[UTC]		[W m-2]	 [W m-2]	  [W m-2]	 [W m-2]	 [/]	 [°]	 [/]
Timestamp	Beam	Diffuse	Beam_prime	Diffuse_prime	Best_Combination	Solar zenith	Albedo
2025-03-29 00:00:00+00:00	NaN	NaN	NaN	NaN	nan	97.5	0.86
2025-03-29 00:10:00+00:00	NaN	NaN	NaN	NaN	nan	97.39	0.86
2025-03-29 00:20:00+00:00	NaN	NaN	NaN	NaN	nan	97.27	0.86
2025-03-29 00:30:00+00:00	NaN	NaN	NaN	NaN	nan	97.13	0.86
2025-03-29 00:40:00+00:00	NaN	NaN	NaN	NaN	nan	96.96	0.86
2025-03-29 00:50:00+00:00	NaN	NaN	NaN	NaN	nan	96.78	0.86
2025-03-29 01:00:00+00:00	NaN	NaN	NaN	NaN	nan	96.58	0.86
2025-03-29 01:10:00+00:00	NaN	NaN	NaN	NaN	nan	96.35	0.86
2025-03-29 01:20:00+00:00	NaN	NaN	NaN	NaN	nan	96.11	0.86
2025-03-29 01:30:00+00:00	NaN	NaN	NaN	NaN	nan	95.86	0.86
2025-03-29 01:40:00+00:00	NaN	NaN	NaN	NaN	nan	95.58	0.86
2025-03-29 01:50:00+00:00	NaN	NaN	NaN	NaN	nan	95.29	0.86
2025-03-29 02:00:00+00:00	NaN	NaN	NaN	NaN	nan	94.98	0.86
2025-03-29 02:10:00+00:00	NaN	NaN	NaN	NaN	nan	94.66	0.86
2025-03-29 02:20:00+00:00	NaN	NaN	NaN	NaN	nan	94.32	0.86
2025-03-29 02:30:00+00:00	NaN	NaN	NaN	NaN	nan	93.96	0.86
2025-03-29 02:40:00+00:00	NaN	NaN	NaN	NaN	nan	93.59	0.86
2025-03-29 02:50:00+00:00	NaN	NaN	NaN	NaN	nan	93.21	0.86
2025-03-29 03:00:00+00:00	NaN	NaN	NaN	NaN	nan	92.82	0.86
2025-03-29 03:10:00+00:00	NaN	NaN	NaN	NaN	nan	92.41	0.86
2025-03-29 03:20:00+00:00	NaN	NaN	NaN	NaN	nan	92.0	0.86
2025-03-29 03:30:00+00:00	NaN	NaN	NaN	NaN	nan	91.57	0.86
2025-03-29 03:40:00+00:00	NaN	NaN	NaN	NaN	nan	91.14	0.86
2025-03-29 03:50:00+00:00	NaN	NaN	NaN	NaN	nan	90.69	0.86
2025-03-29 04:00:00+00:00	NaN	NaN	NaN	NaN	nan	90.24	0.86
2025-03-29 04:10:00+00:00	2.0	10.0	5.0	10.0	all	89.78	0.86
2025-03-29 04:20:00+00:00	6.0	17.0	12.0	17.0	all	89.32	0.86
2025-03-29 04:30:00+00:00	19.0	39.0	47.0	39.0	all	88.85	0.86
2025-03-29 04:40:00+00:00	35.0	72.0	100.0	70.0	all	88.37	0.86
2025-03-29 04:50:00+00:00	41.0	75.0	102.0	73.0	all	87.89	0.86
2025-03-29 05:00:00+00:00	52.0	95.0	131.0	91.0	all	87.41	0.86
2025-03-29 05:10:00+00:00	65.0	121.0	171.0	115.0	all	86.93	0.86
2025-03-29 05:20:00+00:00	70.0	123.0	172.0	117.0	all	86.45	0.86
2025-03-29 05:30:00+00:00	83.0	149.0	211.0	140.0	all	85.97	0.86
2025-03-29 05:40:00+00:00	91.0	161.0	227.0	151.0	all	85.48	0.86
2025-03-29 05:50:00+00:00	99.0	175.0	245.0	162.0	all	85.0	0.86
2025-03-29 06:00:00+00:00	108.0	190.0	266.0	175.0	all	84.53	0.86
2025-03-29 06:10:00+00:00	115.0	201.0	278.0	184.0	all	84.05	0.86
2025-03-29 06:20:00+00:00	122.0	209.0	288.0	191.0	all	83.58	0.86
2025-03-29 06:30:00+00:00	129.0	219.0	300.0	198.0	all	83.12	0.86
2025-03-29 06:40:00+00:00	135.0	228.0	311.0	206.0	all	82.66	0.86
2025-03-29 06:50:00+00:00	141.0	236.0	321.0	212.0	all	82.21	0.86
2025-03-29 07:00:00+00:00	148.0	245.0	332.0	218.0	all	81.77	0.86
2025-03-29 07:10:00+00:00	155.0	254.0	345.0	225.0	all	81.33	0.86
2025-03-29 07:20:00+00:00	161.0	263.0	357.0	232.0	all	80.91	0.86
2025-03-29 07:30:00+00:00	168.0	271.0	370.0	238.0	all	80.49	0.86
2025-03-29 07:40:00+00:00	174.0	276.0	378.0	241.0	all	80.09	0.86
2025-03-29 07:50:00+00:00	179.0	279.0	383.0	243.0	all	79.7	0.86
2025-03-29 08:00:00+00:00	184.0	283.0	388.0	245.0	all	79.32	0.86
2025-03-29 08:10:00+00:00	186.0	284.0	388.0	245.0	all	78.95	0.86
2025-03-29 08:20:00+00:00	192.0	292.0	399.0	251.0	all	78.6	0.86
2025-03-29 08:30:00+00:00	196.0	297.0	405.0	255.0	all	78.26	0.86
2025-03-29 08:40:00+00:00	200.0	300.0	409.0	257.0	all	77.94	0.86
2025-03-29 08:50:00+00:00	202.0	302.0	410.0	257.0	all	77.64	0.86
2025-03-29 09:00:00+00:00	204.0	301.0	408.0	256.0	all	77.35	0.86
2025-03-29 09:10:00+00:00	208.0	308.0	417.0	261.0	all	77.08	0.86
2025-03-29 09:20:00+00:00	212.0	317.0	427.0	268.0	all	76.83	0.86
2025-03-29 09:30:00+00:00	214.0	318.0	427.0	268.0	all	76.59	0.86
2025-03-29 09:40:00+00:00	215.0	322.0	430.0	271.0	all	76.38	0.86
2025-03-29 09:50:00+00:00	218.0	329.0	437.0	277.0	all	76.18	0.86
2025-03-29 10:00:00+00:00	218.0	327.0	433.0	275.0	all	76.01	0.86
2025-03-29 10:10:00+00:00	218.0	328.0	431.0	276.0	all	75.85	0.86
2025-03-29 10:20:00+00:00	216.0	324.0	424.0	273.0	all	75.72	0.86
2025-03-29 10:30:00+00:00	214.0	319.0	414.0	270.0	all	75.6	0.86
2025-03-29 10:40:00+00:00	212.0	318.0	409.0	269.0	all	75.51	0.86
2025-03-29 10:50:00+00:00	203.0	291.0	374.0	248.0	all	75.44	0.86
2025-03-29 11:00:00+00:00	186.0	248.0	320.0	215.0	all	75.39	0.86
2025-03-29 11:10:00+00:00	165.0	201.0	261.0	177.0	all	75.36	0.86
2025-03-29 11:20:00+00:00	144.0	160.0	211.0	143.0	all	75.35	0.86
2025-03-29 11:30:00+00:00	127.0	132.0	176.0	119.0	all	75.37	0.86
2025-03-29 11:40:00+00:00	124.0	129.0	171.0	117.0	all	75.4	0.86
2025-03-29 11:50:00+00:00	140.0	156.0	204.0	140.0	all	75.46	0.86
2025-03-29 12:00:00+00:00	163.0	202.0	258.0	178.0	all	75.54	0.86
2025-03-29 12:10:00+00:00	174.0	240.0	297.0	210.0	all	75.64	0.86
2025-03-29 12:20:00+00:00	183.0	279.0	334.0	241.0	all	75.76	0.86
2025-03-29 12:30:00+00:00	181.0	292.0	339.0	253.0	all	75.9	0.86
2025-03-29 12:40:00+00:00	118.0	192.0	187.0	175.0	all	76.07	0.86
2025-03-29 12:50:00+00:00	83.0	158.0	124.0	148.0	all	76.25	0.86
2025-03-29 13:00:00+00:00	43.0	124.0	60.0	121.0	all	76.45	0.86
2025-03-29 13:10:00+00:00	61.0	145.0	89.0	139.0	all	76.67	0.86
2025-03-29 13:20:00+00:00	96.0	185.0	153.0	172.0	all	76.91	0.86
2025-03-29 13:30:00+00:00	79.0	165.0	122.0	155.0	all	77.17	0.86
2025-03-29 13:40:00+00:00	106.0	196.0	175.0	181.0	all	77.44	0.86
2025-03-29 13:50:00+00:00	83.0	165.0	130.0	155.0	all	77.74	0.86
2025-03-29 14:00:00+00:00	79.0	155.0	123.0	146.0	all	78.05	0.86
2025-03-29 14:10:00+00:00	73.0	141.0	110.0	134.0	all	78.37	0.86
