Date of production: 2025-05-14
Produced by: Arthur Garreau
Best estimation of beam and diffuse irradiance with GLOB using the Faiman et al. (1992) method.
Location: Ny-Alesund (78.92240N 11.92174E).
[UTC]		[W m-2]	 [W m-2]	  [W m-2]	 [W m-2]	 [/]	 [°]	 [/]
Timestamp	Beam	Diffuse	Beam_prime	Diffuse_prime	Best_Combination	Solar zenith	Albedo
2025-03-30 00:00:00+00:00	NaN	NaN	NaN	NaN	nan	97.1	0.85
2025-03-30 00:10:00+00:00	NaN	NaN	NaN	NaN	nan	97.0	0.85
2025-03-30 00:20:00+00:00	NaN	NaN	NaN	NaN	nan	96.88	0.85
2025-03-30 00:30:00+00:00	NaN	NaN	NaN	NaN	nan	96.73	0.85
2025-03-30 00:40:00+00:00	NaN	NaN	NaN	NaN	nan	96.57	0.85
2025-03-30 00:50:00+00:00	NaN	NaN	NaN	NaN	nan	96.39	0.85
2025-03-30 01:00:00+00:00	NaN	NaN	NaN	NaN	nan	96.18	0.85
2025-03-30 01:10:00+00:00	NaN	NaN	NaN	NaN	nan	95.96	0.85
2025-03-30 01:20:00+00:00	NaN	NaN	NaN	NaN	nan	95.72	0.85
2025-03-30 01:30:00+00:00	NaN	NaN	NaN	NaN	nan	95.46	0.85
2025-03-30 01:40:00+00:00	NaN	NaN	NaN	NaN	nan	95.19	0.85
2025-03-30 01:50:00+00:00	NaN	NaN	NaN	NaN	nan	94.89	0.85
2025-03-30 02:00:00+00:00	NaN	NaN	NaN	NaN	nan	94.58	0.85
2025-03-30 02:10:00+00:00	NaN	NaN	NaN	NaN	nan	94.26	0.85
2025-03-30 02:20:00+00:00	NaN	NaN	NaN	NaN	nan	93.92	0.85
2025-03-30 02:30:00+00:00	NaN	NaN	NaN	NaN	nan	93.57	0.85
2025-03-30 02:40:00+00:00	NaN	NaN	NaN	NaN	nan	93.2	0.85
2025-03-30 02:50:00+00:00	NaN	NaN	NaN	NaN	nan	92.82	0.85
2025-03-30 03:00:00+00:00	NaN	NaN	NaN	NaN	nan	92.42	0.85
2025-03-30 03:10:00+00:00	NaN	NaN	NaN	NaN	nan	92.02	0.85
2025-03-30 03:20:00+00:00	NaN	NaN	NaN	NaN	nan	91.6	0.85
2025-03-30 03:30:00+00:00	NaN	NaN	NaN	NaN	nan	91.18	0.85
2025-03-30 03:40:00+00:00	NaN	NaN	NaN	NaN	nan	90.74	0.85
2025-03-30 03:50:00+00:00	NaN	NaN	NaN	NaN	nan	90.3	0.85
2025-03-30 04:00:00+00:00	1.0	8.0	4.0	8.0	all	89.84	0.85
2025-03-30 04:10:00+00:00	3.0	10.0	5.0	10.0	all	89.39	0.85
2025-03-30 04:20:00+00:00	5.0	13.0	7.0	13.0	all	88.92	0.85
2025-03-30 04:30:00+00:00	12.0	22.0	19.0	22.0	all	88.45	0.85
2025-03-30 04:40:00+00:00	24.0	39.0	44.0	38.0	all	87.98	0.85
2025-03-30 04:50:00+00:00	43.0	75.0	97.0	72.0	all	87.5	0.85
2025-03-30 05:00:00+00:00	59.0	110.0	150.0	105.0	all	87.02	0.85
2025-03-30 05:10:00+00:00	73.0	141.0	197.0	133.0	all	86.54	0.85
2025-03-30 05:20:00+00:00	81.0	152.0	212.0	143.0	all	86.05	0.85
2025-03-30 05:30:00+00:00	89.0	164.0	227.0	153.0	all	85.57	0.85
2025-03-30 05:40:00+00:00	97.0	177.0	243.0	165.0	all	85.09	0.85
2025-03-30 05:50:00+00:00	104.0	188.0	256.0	174.0	all	84.61	0.85
2025-03-30 06:00:00+00:00	114.0	204.0	279.0	187.0	all	84.13	0.85
2025-03-30 06:10:00+00:00	104.0	165.0	217.0	152.0	all	83.66	0.85
2025-03-30 06:20:00+00:00	123.0	208.0	281.0	190.0	all	83.19	0.85
2025-03-30 06:30:00+00:00	135.0	233.0	317.0	210.0	all	82.72	0.85
2025-03-30 06:40:00+00:00	142.0	244.0	330.0	218.0	all	82.26	0.85
2025-03-30 06:50:00+00:00	148.0	249.0	336.0	222.0	all	81.81	0.85
2025-03-30 07:00:00+00:00	154.0	256.0	346.0	228.0	all	81.37	0.85
2025-03-30 07:10:00+00:00	161.0	266.0	359.0	234.0	all	80.93	0.85
2025-03-30 07:20:00+00:00	167.0	272.0	368.0	239.0	all	80.51	0.85
2025-03-30 07:30:00+00:00	172.0	276.0	373.0	241.0	all	80.1	0.85
2025-03-30 07:40:00+00:00	178.0	282.0	382.0	246.0	all	79.69	0.85
2025-03-30 07:50:00+00:00	182.0	286.0	387.0	248.0	all	79.3	0.85
2025-03-30 08:00:00+00:00	189.0	295.0	400.0	254.0	all	78.92	0.85
2025-03-30 08:10:00+00:00	194.0	301.0	408.0	258.0	all	78.56	0.85
2025-03-30 08:20:00+00:00	198.0	306.0	415.0	261.0	all	78.2	0.85
2025-03-30 08:30:00+00:00	203.0	313.0	424.0	267.0	all	77.87	0.85
2025-03-30 08:40:00+00:00	207.0	318.0	429.0	270.0	all	77.55	0.85
2025-03-30 08:50:00+00:00	209.0	319.0	430.0	271.0	all	77.24	0.85
2025-03-30 09:00:00+00:00	207.0	310.0	414.0	263.0	all	76.95	0.85
2025-03-30 09:10:00+00:00	213.0	324.0	432.0	273.0	all	76.68	0.85
2025-03-30 09:20:00+00:00	217.0	331.0	441.0	279.0	all	76.43	0.85
2025-03-30 09:30:00+00:00	219.0	335.0	444.0	281.0	all	76.2	0.85
2025-03-30 09:40:00+00:00	221.0	339.0	446.0	284.0	all	75.98	0.85
2025-03-30 09:50:00+00:00	222.0	343.0	449.0	287.0	all	75.79	0.85
2025-03-30 10:00:00+00:00	224.0	345.0	450.0	289.0	all	75.61	0.85
2025-03-30 10:10:00+00:00	223.0	339.0	442.0	284.0	all	75.46	0.85
2025-03-30 10:20:00+00:00	220.0	329.0	428.0	277.0	all	75.32	0.85
2025-03-30 10:30:00+00:00	217.0	322.0	417.0	271.0	all	75.21	0.85
2025-03-30 10:40:00+00:00	213.0	313.0	402.0	264.0	all	75.12	0.85
2025-03-30 10:50:00+00:00	217.0	323.0	416.0	271.0	all	75.05	0.85
2025-03-30 11:00:00+00:00	213.0	313.0	401.0	264.0	all	75.0	0.85
2025-03-30 11:10:00+00:00	215.0	317.0	406.0	267.0	all	74.97	0.85
2025-03-30 11:20:00+00:00	214.0	318.0	406.0	268.0	all	74.96	0.85
2025-03-30 11:30:00+00:00	201.0	292.0	366.0	249.0	all	74.98	0.85
2025-03-30 11:40:00+00:00	199.0	289.0	362.0	247.0	all	75.02	0.85
2025-03-30 11:50:00+00:00	192.0	279.0	344.0	240.0	all	75.07	0.85
2025-03-30 12:00:00+00:00	199.0	294.0	366.0	252.0	all	75.15	0.85
2025-03-30 12:10:00+00:00	177.0	250.0	304.0	218.0	all	75.25	0.85
2025-03-30 12:20:00+00:00	179.0	254.0	310.0	221.0	all	75.38	0.85
2025-03-30 12:30:00+00:00	188.0	270.0	335.0	233.0	all	75.52	0.85
2025-03-30 12:40:00+00:00	177.0	250.0	308.0	218.0	all	75.68	0.85
2025-03-30 12:50:00+00:00	158.0	216.0	261.0	191.0	all	75.87	0.85
2025-03-30 13:00:00+00:00	40.0	86.0	51.0	83.0	all	76.07	0.85
2025-03-30 13:10:00+00:00	92.0	136.0	131.0	127.0	all	76.29	0.85
2025-03-30 13:20:00+00:00	184.0	279.0	344.0	241.0	all	76.53	0.85
2025-03-30 13:30:00+00:00	196.0	313.0	392.0	268.0	all	76.79	0.85
2025-03-30 13:40:00+00:00	197.0	315.0	399.0	270.0	all	77.07	0.85
2025-03-30 13:50:00+00:00	198.0	315.0	405.0	269.0	all	77.36	0.85
2025-03-30 14:00:00+00:00	197.0	312.0	407.0	267.0	all	77.67	0.85
2025-03-30 14:10:00+00:00	194.0	307.0	404.0	263.0	all	78.0	0.85
2025-03-30 14:20:00+00:00	190.0	302.0	398.0	260.0	all	78.34	0.85
2025-03-30 14:30:00+00:00	186.0	292.0	388.0	253.0	all	78.69	0.85
2025-03-30 14:40:00+00:00	184.0	289.0	388.0	250.0	all	79.06	0.85
2025-03-30 14:50:00+00:00	179.0	285.0	383.0	248.0	all	79.44	0.85
2025-03-30 15:00:00+00:00	174.0	285.0	379.0	249.0	all	79.84	0.85
2025-03-30 15:10:00+00:00	168.0	279.0	370.0	245.0	all	80.25	0.85
2025-03-30 15:20:00+00:00	159.0	262.0	347.0	231.0	all	80.66	0.85
2025-03-30 15:30:00+00:00	153.0	248.0	332.0	220.0	all	81.09	0.85
2025-03-30 15:40:00+00:00	114.0	162.0	206.0	149.0	all	81.52	0.85
2025-03-30 15:50:00+00:00	104.0	145.0	183.0	134.0	all	81.97	0.85
2025-03-30 16:00:00+00:00	64.0	93.0	98.0	88.0	all	82.42	0.85
2025-03-30 16:10:00+00:00	109.0	167.0	215.0	153.0	all	82.87	0.85
2025-03-30 16:20:00+00:00	86.0	131.0	157.0	122.0	all	83.34	0.85
2025-03-30 16:30:00+00:00	61.0	91.0	99.0	87.0	all	83.8	0.85
2025-03-30 16:40:00+00:00	37.0	62.0	54.0	61.0	all	84.28	0.85
2025-03-30 16:50:00+00:00	77.0	115.0	148.0	108.0	all	84.75	0.85
2025-03-30 17:00:00+00:00	83.0	125.0	173.0	117.0	all	85.23	0.85
2025-03-30 17:10:00+00:00	20.0	39.0	27.0	39.0	all	85.7	0.85
2025-03-30 17:20:00+00:00	10.0	29.0	13.0	29.0	all	86.18	0.85
2025-03-30 17:30:00+00:00	8.0	27.0	11.0	27.0	all	86.66	0.85
2025-03-30 17:40:00+00:00	7.0	24.0	9.0	24.0	all	87.13	0.85
2025-03-30 17:50:00+00:00	5.0	20.0	7.0	20.0	all	87.61	0.85
2025-03-30 18:00:00+00:00	4.0	17.0	6.0	17.0	all	88.08	0.85
2025-03-30 18:10:00+00:00	3.0	14.0	5.0	14.0	all	88.54	0.85
2025-03-30 18:20:00+00:00	3.0	11.0	4.0	11.0	all	89.01	0.85
2025-03-30 18:30:00+00:00	2.0	9.0	4.0	9.0	all	89.46	0.85
2025-03-30 18:40:00+00:00	1.0	8.0	3.0	8.0	all	89.91	0.85
2025-03-30 18:50:00+00:00	NaN	NaN	NaN	NaN	nan	90.35	0.85
2025-03-30 19:00:00+00:00	NaN	NaN	NaN	NaN	nan	90.78	0.85
2025-03-30 19:10:00+00:00	NaN	NaN	NaN	NaN	nan	91.21	0.85
2025-03-30 19:20:00+00:00	NaN	NaN	NaN	NaN	nan	91.62	0.85
2025-03-30 19:30:00+00:00	NaN	NaN	NaN	NaN	nan	92.03	0.85
2025-03-30 19:40:00+00:00	NaN	NaN	NaN	NaN	nan	92.42	0.85
2025-03-30 19:50:00+00:00	NaN	NaN	NaN	NaN	nan	92.8	0.85
2025-03-30 20:00:00+00:00	NaN	NaN	NaN	NaN	nan	93.16	0.85
2025-03-30 20:10:00+00:00	NaN	NaN	NaN	NaN	nan	93.52	0.85
2025-03-30 20:20:00+00:00	NaN	NaN	NaN	NaN	nan	93.86	0.85
2025-03-30 20:30:00+00:00	NaN	NaN	NaN	NaN	nan	94.18	0.85
2025-03-30 20:40:00+00:00	NaN	NaN	NaN	NaN	nan	94.49	0.85
2025-03-30 20:50:00+00:00	NaN	NaN	NaN	NaN	nan	94.78	0.85
2025-03-30 21:00:00+00:00	NaN	NaN	NaN	NaN	nan	95.06	0.85
2025-03-30 21:10:00+00:00	NaN	NaN	NaN	NaN	nan	95.32	0.85
2025-03-30 21:20:00+00:00	NaN	NaN	NaN	NaN	nan	95.56	0.85
2025-03-30 21:30:00+00:00	NaN	NaN	NaN	NaN	nan	95.78	0.85
2025-03-30 21:40:00+00:00	NaN	NaN	NaN	NaN	nan	95.98	0.85
2025-03-30 21:50:00+00:00	NaN	NaN	NaN	NaN	nan	96.17	0.85
2025-03-30 22:00:00+00:00	NaN	NaN	NaN	NaN	nan	96.33	0.85
2025-03-30 22:10:00+00:00	NaN	NaN	NaN	NaN	nan	96.48	0.85
2025-03-30 22:20:00+00:00	NaN	NaN	NaN	NaN	nan	96.6	0.85
2025-03-30 22:30:00+00:00	NaN	NaN	NaN	NaN	nan	96.71	0.85
2025-03-30 22:40:00+00:00	NaN	NaN	NaN	NaN	nan	96.79	0.85
2025-03-30 22:50:00+00:00	NaN	NaN	NaN	NaN	nan	96.86	0.85
2025-03-30 23:00:00+00:00	NaN	NaN	NaN	NaN	nan	96.9	0.85
2025-03-30 23:10:00+00:00	NaN	NaN	NaN	NaN	nan	96.92	0.85
